match_type,seriesId,seriesName,matchId,matchDesc,matchFormat,matchstartDate,matchendDate,matchstate,matchstatus,team1Id,team1Name,team1SName,team2Id,team2Name,team2SName,venueid,match_ground_name,match_city,timezone,latitude,longitude,currBatTeamId,team1inningsId,team1runs,team1wickets,team1overs,team2runs,team2wickets,team2overs
Domestic,6725,Ranji Trophy 2023-24,74846,Elite Group C,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,595,Chandigarh,CDG,128,Karnataka,KAR,329,KSCA Hubli Cricket Ground,Hubli,19800,15.370228,75.127888,595,1,219,6,88.6,,,
Domestic,6725,Ranji Trophy 2023-24,74853,Elite Group C,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,92,Tamil Nadu,TN,245,Punjab,PUN,756,SCF Cricket Ground,Salem,19800,11.6469027,78.292597,92,1,291,4,89.6,,,
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89329,6th Match,T20,2024-02-15,2024-02-15,Complete,Saudi Arabia won by 166 runs,571,Saudi Arabia,SAU,555,Bhutan,BTN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,221,3,19.6,55,10,14.2
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89304,2nd Match,T20,2024-02-12,2024-02-12,Complete,Saudi Arabia won by 98 runs,571,Saudi Arabia,SAU,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,186,6,19.6,88,8,19.6
International,6927,"England tour of India, 2024",78642,3rd Test,TEST,2024-02-15,2024-02-19,Stumps,Day 2: Stumps - England trail by 238 runs,2,India,IND,9,England,ENG,290,Saurashtra Cricket Association Stadium,Rajkot,19800,22.289721,70.793182,9,1,445,10,130.5,207,2,34.6
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89339,3rd place play-off,T20,2024-02-16,2024-02-16,Complete,Bhutan won by 4 wkts,563,Maldives,MDV,555,Bhutan,BTN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,555,1,138,6,19.6,141,6,19.2
Domestic,6725,Ranji Trophy 2023-24,74776,Elite Group C,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Railways trail by 77 runs,247,Tripura,TRI,246,Railways,RLYS,316,Maharaja Bir Bikram College Stadium,Agartala,19800,23.828066,91.297049,246,1,149,10,52.1,72,7,25.6
Domestic,7261,CSA Four-Day Series Division One 2023-24,83036,21st Match,TEST,2024-02-14,2024-02-17,Complete,Western Province won by 64 runs,917,Western Province,WPR,155,Warriors,WAR,73,St George's Park,Gqeberha,7200,-33.966545,25.610332,917,1,141,10,42.4,111,10,31.0
Domestic,6990,Sheffield Shield 2023-24,79265,23rd Match,TEST,2024-02-15,2024-02-19,Stumps,Day 1: Stumps - Western Australia trail by 65 runs,166,Tasmania,TAS,87,Western Australia,WA,39,Bellerive Oval,Hobart,39600,-42.877296,147.374013,87,1,183,10,48.6,118,4,38.6
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89315,4th Match,T20,2024-02-13,2024-02-13,Complete,Maldives won by 9 wkts,555,Bhutan,BTN,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,563,1,115,6,19.6,119,1,14.3
Domestic,6725,Ranji Trophy 2023-24,74839,Elite Group B,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,375,Chhattisgarh,CG,93,Uttar Pradesh,UP,485,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,19800,26.846694,80.946166,375,1,238,4,86.6,,,
