team_id,team_rank,team_name,team_rating,team_matches,team_points,ranking_lastUpdatedOn,app_seo_title
1132,59,Cook Islands,41,6,245,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
549,60,Argentina,39,11,424,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
551,61,Mozambique,36,24,864,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
522,62,Malta,35,44,1535,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
569,63,Rwanda,32,70,2255,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
531,64,Ghana,31,31,968,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
343,65,Fiji,30,10,304,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
537,66,Luxembourg,28,30,845,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
384,67,Thailand,28,19,527,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
559,68,Sierra Leone,27,28,766,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1111,69,Cyprus,26,8,206,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1018,70,Bahamas,24,10,241,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
540,71,Belize,22,3,66,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
550,72,Hungary,19,19,367,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
546,73,Panama,19,11,206,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
555,74,Bhutan,17,16,278,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1067,75,Serbia,14,19,268,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
564,76,Gibraltar,13,30,385,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
558,77,Bulgaria,10,30,289,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
570,78,Lesotho,9,9,82,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
